seq,contents,reply_contents
11710,성경통독시간이 돌아왔다는 앱푸시 알림이 뜨지않게하는방법 알려주세요. 전체수신설정이 비활성화인데 알림이 옵니다,"안녕하세요, GOODTV 바이블 애플입니다. 바이블 애플을 이용해 주셔서 감사합니다.성도님, 불편을 드려 죄송합니다. 성도님께 더 이상 알림이 가지 않도록 설정 하였습니다.항상 성도님께 좋은 성경앱을 제공하기 위해 노력하는 바이블 애플이 되겠습니다.감사합니다. 주님 안에서 평안하세요."
11705,이사야13장이 파일변환이 안되네요,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 현재 이용하고 계신 앱의 버전이 다소 낮은 것으로 확인됩니다.구글 플레이스토어 > 바이블 애플 검색하셔서 [업데이트] 눌러 업데이트를 진행해주세요.(*구글 플레이스토어는 휴대전화 앱 메뉴 검색에서 ""플레이스토어"" 검색하시면 쉽게 찾을 수 있습니다)현재 최신 버전의 앱은 녹음 관련 문제가 수정되었습니다.업데이트 이 후에도 같은 문제가 반복되시면 다시 고객문의로 남겨주세요.항상 주님 안에서 평안하세요, 감사합니다."
11704,"개역개정 신명기 30장 시작할 때 ""30장"" 안내멘트가 없습니다.","안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.이전 문의와 동일하게, 해당 문제는 ""배경음악 제거"" 로 청취하시면서안내문구가 편집된 것으로 확인됩니다.음원 수정은 부분 수정이 아닌 전체 교체가 필요한 것으로수정에 다소 시간이 소요될 수 있음을 안내드립니다. 너그러운 마음으로 양해를 부탁드립니다. 수정이 필요한 장,절 위치는 별도 기록하여 추후 수정 시 참고할 수 있도록 하겠습니다.항상 주님 안에서 평안하세요, 감사합니다."
11703,자면서듣고싶은데 타이머기능은 없나요?,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.현재 바이블 애플에서 별도의 타이머를 설정하고 음원을 재생할 수는 없습니다다만, 찬송의 경우 듣고 싶은 장을 플레이리스트에 등록하신 뒤 플레이리스트 재생 모드로 설정한 뒤 재생 하시면 원하는 장까지만 재생이 가능한 방법이 있습니다. (*플레이리스트 설정은 설정 > 고객센터 > ""자주 묻는 질문"" 에서 ""찬송""을 클릭, ""[찬송] 플레이스트에 즐겨듣는 찬양을 모아 듣고 싶어요"" 게시글을 참고해주세요.) 타이머와 동일한 기능을 제공하는 것은 아니기 때문에, 내부적으로 해당 기능에 대해서는 검토할 수 있도록 하겠습니다.소중한 의견 제안에 감사드리며, 더 많은 기능과 콘텐츠로 성도님들의 묵상이 풍성해질 수 있도록 돕는 바이블 애플이 되겠습니다.항상 주님 안에서 평안하세요, 감사합니다."
11702,업데이트 해도 마찬가지  에요 계속 반복해서 재생이 않되고 자동 정지가 되고 알림창이 자동으로 사라지네요,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 우측하단 음원설정이 반복재생 혹은 연속재생으로 설정되어 있을까요?만약, 재생설정에 이상이 없다면 아래 사항을 확인하시고 재문의 남겨주시면 감사드리겠습니다. 성경 음원과 찬송 음원 중 어떤 음원이 자동 정지가 되실까요?알림창이 자동으로 사라진다는 말씀은 휴대폰 상단 바를 내렸을 때 음원 재생 표시도 함께 사라지는 문제가 맞을까요?한장 한장 모든 장에서 연속재생이 안되시는지, 아니면 5~6장 들으시다가 멈춰버리는지도 함께 말씀해주시면 감사하겠습니다. 또, 현재 성도님께서 사용하고 계신 휴대전화의 기종을 알고 계시다면 남겨주세요.(기종에 따라 반복되는 문제일 수 있어, 확인이 필요합니다. )모든 기기에 동일한 오류 현상이 나타나는 것이 아니다보니,부득이하게 성도님께 여러번 여쭙는 점 양해 부탁드립니다. 성도님께서 원활한 이용을 하실 수 있도록 끝까지 최선을 다하겠습니다. 항상 주님 안에서 평안하세요, 감사합니다."
11701,연속 재생이 않되고 멈춘 현상이 반복 합니다 개선 요망,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 현재 이용하고 계신 앱의 버전이 다소 낮은 것으로 확인됩니다. (최소 두번의 업데이트를 진행하지 않으신 것으로 보입니다.)구글 플레이스토어에서 바이블 애플 검색하신 뒤 [업데이트] 눌러 최신 버전으로 업데이트 해주세요.업데이트 이후에도 연속재생이 끊긴다면번거로우시겠지만 다시한번 재문의를 부탁드립니다.항상 주님 안에서 평안하세요, 감사합니다."
11683,녹음이 된것으로 파란표시 되었어도 재생 안되는 절을 다시 녹음 하나까 잘 됩니다 감사합니다,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.문제가 해결 되었다니 다행입니다.성도님, 이용중에 또 불편하시거나 궁금하신 사항이 있으시면언제든지 1:1 문의로 남겨주세요.최대한 빠르게 확인하고 답변드릴 수 있도록 하겠습니다.언제나 행복한 말씀 묵상이 되실 수 있도록 최선을 다하는 바이블 애플이 되겠습니다.환절기 감기 조심하시고 영육간 강건하시길 소망하며 기도하겠습니다.항상 주님 안에서 평안하세요, 감사합니다."
11682,장시간찬송가틀고있는데속도가너무빨라져 정상속도로듣지못하고있어요..빠른시정부탁드려요,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.우선, 성도님 현재 이용하고 계신 앱 버전이 너무 낮은 것으로 보입니다.먼저 구글 플레이 스토어 > 바이블 애플 검색 후 업데이트를 진행해주세요.*업데이트 하는 법 휴대전화 메뉴에서 돋보기 버튼을 눌러 ""플레이스토어"" 검색하셔서 스토어에 들어가신 뒤, 스토어에서 ""바이블 애플"" 검색해주세요. 바이블 애플 오른쪽에 [업데이트] 버튼을 눌러주세요.최신 버전이 아닌 경우 문제를 정확하게 확인하기 어렵습니다. 속도가 너무 빨라져 정상 속도로 듣지 못하신다는 말씀은듣는 중 속도가 변경되었다는 말씀이실까요?찬송가 재생 하실 때 오른쪽 아래를 보시면 [x1.0] 이런 숫자 버튼이 있습니다.해당 버튼을 누르면 0.8 (=정상 속도보다 조금 느림) 부터 2.0 (두배속) 까지 속도를 조절해서 들으실 수 있어요.혹시, 들으실 때 속도가 빠르다 생각 되시면 해당 설정이 정상속도인 x1.0 이 아닌 다른 속도로 되어 있지는 않는지 확인을 부탁드립니다.앱을 업데이트 하신 후 이용하시다가 같은 문제로 불편 겪으시면 구체적인 상황을 적어주시고, 혹은 화면 사진을 찍어 파일에 첨부해주세요.최대한 도움을 드릴 수 있도록 하겠습니다.항상 주님 안에서 평안하세요, 감사합니다."
11679,역대하 13장17절 2번째 줄에 병사들을 백성들이라고 잘못 읽으셨네요,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.해당 구절 단어 오탈자를 확인하였습니다.성경 음원에서 오탈자가 발생하는 이유는 음원이 제작 당시의 성경 본문을 기준으로 녹음되었기 때문입니다.성경은 지속적인 연구를 바탕으로 음절, 어미, 단어의 수정이 수시로 이뤄지는 반면, 음원은 사람이 직접 녹음하는 특성 상 수시 수정이 어려워 본문과 달라지는 문제가 있습니다.보다 오차를 줄일 수 있는 방법을 모색하고 있습니다. 성도님께서 보내주신 음원 오류 제보는 별도 정리 및 관리하며 재제작할 수 있도록 준비하고 있으며앞서 설명드린대로 음원은 특성 상 일부 수정이 아닌 전체 교체가 필요한 부분이어서 수정 반영에 다소 시간이 소요될 수 있음을 양해부탁드립니다.항상 주님 안에서 평안하세요, 감사합니다."
11678,고린도후서 5장 ...  ~이 무너지면 ... 부터 낭독이 나옵니다.  앞 부분이 없어요.,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 현재 말씀을 들으실 때 ""배경음악 제거"" 후 청취하고 계신지요?해당 문제는 배경음악을 제거하면서 앞 구절이 들리지 않는 것으로배경음악 제거 모드를 끈 상태에서는 말씀이 정상적으로 재생 되는 것을 확인하였습니다.배경음악 제거 과정에서 앞구절이 잘린 음원은 음원 수정이 필요한 작업으로다소 시간이 소요될 것으로 보입니다.말씀해주신 고린도후서 5장 1절 초반 누락을 수정사항으로 전달할 수 있도록 하겠습니다.더불어, 현재 성도님께서 이용하고 계신 앱 버전이 다소 낮은 것으로 확인됩니다.구글 플레이스토어 > 바이블 애플 검색 후 ""업데이트"" 하시면 보다 원활한 사용 가능하실 것으로 보입니다.항상 주님 안에서 평안하세요, 감사합니다."
